2000,100,[-1806672118  2083454029  551909859  952779571  -1456457395  1949458010  927189800  186956489  -401067130  -855108302  -1148929682  -280432279  -1267584575  1048398822  -1895518293  -681337693  177550401  1843627984  441643834  2053734450  -1177306903  299890732  -2107277858  79354297  -825995556  -1155028243  -1012796410  -1494920272  755843176  -1593197874  -1064748206  933082008  -1993967841  -1255814490  581399893  -1175865482  -468517306  -390176256  -1908252004  -888809858  2135279475  217841386  -1470336529  -65414899  -67398287  930017549  -616366122  1435139036  697184614  -1838460419  1950517854  -1813671310  2011385400  247181010  2105793820  -1404478246  1213972011  1859925751  -1245611662  1459553430  -2033328434  -1799781311  -592134383  2114680019  1197498135  655052867  -1693542210  -1443298851  1003013069  1813293792  -3690153  -1001417772  -322744794  1377338913  -1898941160  -1671935840  -372234064  -747984057  1592353562  -1826307807  -610533773  1374842148  -1175424227  782339499  1127768151  -579490906  343446406  1140747697  61512899  509082804  994870186  388912831  -761401977  1826819644  130977356  -1829996883  -1301274629  1625986444  1262151780  1775412497]
2001,100,[-1226312322  1678804658  -1033125121  -473343333  -43844874  1485541332  -1795407092  2077853128  771873704  710179629  -1873057962  84522303  -1512132377  1081863032  626675485  1374782177  -1176283682  -2022163341  -116713410  1915972648  1523327975  821242527  -189045339  535054732  1739169821  -1285311676  1433164031  1776834599  -380178897  974614712  -815533132  1860483483  1113857143  113178335  -205581548  1559137843  -1353671350  1153758197  -1599439920  -1592849080  1675854225  619714954  -2074302293  -1052360731  422856856  -1320414770  -1236184976  707543469  97540390  374736142  1826805542  -789894147  1536587724  1395487614  -1637015934  -649457843  1990381186  -1756207304  1609066908  136552155  -1422173841  -2054798716  1990346725  589918858  -279589625  552906330  1923464024  293536518  -1538438821  404647204  -758968848  -1681538004  1206873771  945296839  -314897831  -1343880791  1718462272  558562020  1478003690  -1820958240  1916320376  1644610138  1031707089  559821585  681180450  1427534095  -908033649  443344566  1933488907  -1359745296  -948132697  1734565680  -1390447143  1583433525  -1966477935  -2087586909  1299625238  954149097  -904716299  -604484067]
2002,100,[365364923  2143061544  -356378149  281326664  825984608  -910452881  586853405  369021777  591677257  -766515768  -1084793337  1134034176  1088293093  -1726732827  64003034  -1038033452  -2132327297  329617571  1961784226  766760061  502377319  -1154918618  1227055238  -1246036834  -269429647  712160578  -1615333534  -1396334124  -282997597  1686980124  283920530  -334274825  1594785577  -1585086703  -1242352  203124127  927672460  1753445589  -1165499199  1656416745  1589332259  -655733025  -177511413  -786624901  -921777463  -2106520316  2071232170  -887313212  67063247  609190754  -329995836  1208903048  -35598028  1474605183  2012798778  -573086309  -124245485  703189425  -2117393344  -1960006932  -1774387620  949475775  -1234344657  1494422981  -1898694970  995831240  690338457  779668048  -202695676  738970723  -1591645282  -414931364  1856672566  1348354823  188039549  -222245023  -763548254  1856247213  -1877540755  -1475240767  -656801885  -1053262669  -1300948563  -491101616  1030845153  442539267  17754842  -649732330  -1944549439  -583754124  -666820992  88101971  1185036831  1503216751  -1180761614  705530050  262012218  -5772075  1349182557  1610955810]
2003,100,[437485322  111934479  1944390791  -2124122981  935600411  -271021235  -1359157763  1316931138  2052140394  1516521751  398901216  -627753920  274031362  -1777028852  41470588  1055736054  759238750  236432183  1400086967  -1401622100  2144767367  1948352147  -862640321  134528689  -1993620640  -988223536  -1683862526  -413636154  1131172928  2057787479  -1660977949  -114358597  121452993  232759692  -1791580502  668459610  1801186263  -1987211182  -666565317  -647203964  824206628  -488293165  244986378  -497698150  53123209  -1116663168  1481975246  -4345058  2130258944  -7744425  1055072628  -697058407  1873841320  -1886117533  787460694  2044008382  1429647393  -604815991  -2016131668  -1011289905  -264693991  -1738988928  1302921026  1282504767  116909351  -820503263  -822098069  2129268888  2030707159  -191202592  -496122827  587505822  -553879803  -899085414  26653149  903247028  -823328658  1181842320  1789972101  377967231  -1235484541  1590282675  2108640547  -442785079  1687326336  171859489  -626228292  -1919101529  -1921150531  1053590767  -351516462  -979278628  -68379068  -2130489048  -1184746469  -1704454016  -251033949  1046555670  -2068924813  -1345293860]
2004,100,[-1195029615  -1703216723  578740199  -1580592695  617924371  -1614810527  1976065241  786594137  -1103832214  -1203184996  1421048278  -1282003913  494426341  -2061358288  -2018757882  -1825680228  -1661945809  -447484492  -1065538330  -729659654  -961684528  1901312440  390413167  -1155767215  704243193  -1417883329  1780201334  -1793438272  1452680832  -1702293394  -606452139  1134837086  -322280152  -881023872  -1396115509  1698732106  -1163391962  -920535556  -1672225248  -1878651392  1157035744  -1085230550  -1413512052  922736878  1700391159  -1022083134  -649861159  -12782522  -1550519929  -1920931097  -2025073337  -683910379  -306168147  152151123  655414191  -738876268  1725310281  -3461166  917109482  -86076994  1152606468  1451949556  589716851  -582787038  -2104700780  1459449085  2108811338  2018571770  1666069054  -1862097632  -1454514917  -1148372101  76129436  1158185964  -1818998113  -2039794322  1054338976  911428358  -1332730046  -764562177  -1341793832  1301677592  -1238765050  589607124  2120945139  -455681015  21167526  -1786864799  1602966659  -1398096018  328714750  -173520262  -420796924  1268199999  -937160791  -481606615  -1727211236  -1977610035  709452268  413369537]
2005,100,[1025345945  1929478633  1447390987  -449980705  275436893  -1067594646  829689930  -1803220692  -1553636402  609098424  -1014708068  753882646  -1103241386  819712902  1485641699  -1758694087  969410395  1230165216  1582300766  629168702  -1564673325  -856937178  -120038559  -260882559  1212094494  -277028777  483263304  1404385012  656115215  2079669651  338804905  -1892719294  -1233995189  239175898  1950069960  -1001698505  724734166  -1813709543  1994050383  1427816798  459393258  -1867224473  -955566786  -2003727893  1508244235  -1079642997  -1205526753  -559178533  -1670751145  -218122815  -1532750210  -1352035751  -1063328990  1535592893  -1812278632  708759395  -378756926  -1477409552  939090  388192429  -650812250  1290394633  -1926327956  -2127204411  -519963475  252264382  571612918  -1024106889  115582644  -222007093  465407746  -135785358  218269553  -1614016454  1654027674  890469163  1075591807  751890405  627919092  -745430015  886230969  321873721  -1538748188  -1398393695  1079888330  -1619742660  577706385  663991723  -1204555260  -1066495792  618012011  220506005  643700081  1253430328  452172380  95846863  1116733223  380131547  1933854269  -1563230168]
2009,100,[-702658922  154835683  150871350  -137145882  2073546644  -502003392  713981623  -401438924  -104794117  -1873747003  -25396032  -2123638718  1215923633  1323345136  2095362511  1480392161  779825571  -1359762620  -388056766  -1264494925  1800661001  -2081051076  -1205587139  -1875024058  109922542  109448828  -1765170479  1153025892  -1397936913  1101559114  723815002  -1771106136  -80530878  -1306822853  -640914904  80323156  -1133275654  -1536545231  677021024  1527074402  191880584  -567738748  1231458596  -45202472  -1697508220  2031942526  58503665  -1856648608  1631036077  1058053901  1504406345  1799267095  1950678574  -233846605  -720476783  -1313987931  600555043  -1712310336  -442159557  -485730163  1927336282  2091578563  -1005365721  1271846853  -430383779  -698458562  1876529734  -414255992  -1828910672  -1357394792  -1670528384  -77231253  841661270  2063532375  -2054028585  -1072454226  1572144282  611112334  111749836  1629523668  -2079929077  169466771  -473342207  1158360950  -2014251577  -1524045835  -869033697  2083897683  -1266680324  1855763884  920734201  -1710214998  -655823956  688331154  826767857  -1586053429  727022767  -1926006510  -1870591078  -1832928789]
2011,100,[1493568489  -679624301  645904026  844102779  -2055617483  833830533  293857961  1416309635  232821460  -1904420083  1831887791  1349720203  1777986608  -1209458316  1594717285  1674372595  -300124078  -908173926  -528223343  1407447247  -1133149492  -959178487  1908476040  1150713122  -1946876711  -325073850  107723764  239366475  -269636158  1867653482  471617751  -1874209602  1778552194  703087602  -1425954353  320210423  1567770028  -1922287150  -2061418853  447470508  -2123766644  -61951537  -194877987  -832166590  -1643655539  -1031523570  861796129  -929087871  -950445606  -1064977945  888637725  529640074  1629749318  -2130850306  324390970  1672669703  -1745532048  -68655724  874766675  908656805  -1509761246  2138909210  2120047803  -1089577537  -820623879  -1398738425  -243022460  1715412059  72770635  -753630230  389777662  -1381642663  1098560836  1046738626  2066971262  1219315433  -15550894  -1057274995  -366885024  -1663035331  994976962  1677319198  1271768910  -1021986689  844689835  296246067  -1647489855  572031493  -1557655542  588292550  -921445945  -2102459709  -1950187218  1349121443  -1411162873  1822838529  1659126614  -720374470  -395109630  203574093]
2019,100,[1594680267  -577992117  -776767464  377384419  1964863003  -2024435341  1924846248  -551443390  -1144319947  1220901279  1823269953  1192330765  -1172575890  1194386740  -1844487294  36186781  509371051  -1351851387  -1825327689  -1205428918  -1168421083  1300657986  -441952456  1609963514  1363203440  -1907200210  -940030445  1630130938  -335780680  1329914388  -136746264  1043168784  105265742  -205642501  411270164  1002026704  1794456418  267262616  -437782766  434704430  993142546  205526787  -1171928035  1172143956  -585276253  -671823187  320446488  -913358410  1812787725  -1317312367  1217775794  -681865118  -2099497284  1182432170  2128307909  -512052068  -1608532331  -1215553628  -1231011073  1340756393  11215158  465080534  847466691  -1026426901  787978626  -520796306  -343147695  1630885166  31330652  949883373  -1989238493  -1926719936  -1291868751  -1270816042  -99425894  -588198458  -1318852932  1466713505  -327245606  -456952755  -8103804  -373575946  -669850127  -59419233  695269289  -262398953  -130681026  546996055  405915232  -889801315  -2141693680  -1935801161  1732617660  1419143526  -352808307  -59659335  408878894  -1460097075  1914952916  1172494179]
2020,100,[-1236446586  -895022102  -1464551275  -2050514705  -707984160  158559514  -71610904  1037887833  -1944226081  1089073472  783540637  1668268803  -1971664037  -1301616958  -2145601146  -789459782  678252843  1212276314  -312341806  -159243179  354827702  -1036905446  -1733277499  -853630623  1700068554  -1368267600  -904910165  -1847880192  -345953876  110220011  -630678263  140261901  -1306360465  -1534074499  672272918  -1161550716  -906920311  -1054849790  -1083579031  771520289  578821539  -985615807  227264242  -1045585850  -1030460497  -289682256  1531076910  -1913071839  2126161215  1570142525  27242134  67810829  446091029  -541517493  197177944  72521529  451051510  1153626618  21465161  197171079  563934147  -1105837141  -833486823  -1289329738  2009119689  588240322  -2023606329  250950594  -114057129  927267501  890366295  1012242570  1440384912  -456175579  -339714110  691797939  -16484989  -547504204  1911965486  568791500  -268633736  976651126  1278856287  90394290  751279244  198062883  -1849639060  -159282122  -2012535424  1901337932  -904548939  -1788593412  1246545357  -741052188  -878696684  295802277  1309180923  -1416299774  625975890  -466149840]
